log,job_id,model,tag,nodes,tp,pp,mbs,gbs,seq_len,best_tokens_sec_gpu,avg_last10_tokens_sec_gpu,best_tflops_gpu,status
logs/gipfel-throughput-32b-fit-32b-cpuopt-60s-1n-tp4-pp1-mbs1-2177775.log,2177775,32b,fit-32b-cpuopt,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-fit-32b-cpuopt-f025-60s-1n-tp4-pp1-mbs1-2178927.log,2178927,32b,fit-32b-cpuopt-f025,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-fit-32b-cpuopt-f025-60s-1n-tp4-pp1-mbs1-2178931.log,2178931,32b,fit-32b-cpuopt-f025,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-fit-32b-cpuopt-f050-60s-1n-tp4-pp1-mbs1-2178928.log,2178928,32b,fit-32b-cpuopt-f050,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-fit-32b-cpuopt-f050-60s-1n-tp4-pp1-mbs1-2178932.log,2178932,32b,fit-32b-cpuopt-f050,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-fit-32b-cpuopt-f075-60s-1n-tp4-pp1-mbs1-2178930.log,2178930,32b,fit-32b-cpuopt-f075,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-fit-32b-cpuopt-f075-60s-1n-tp4-pp1-mbs1-2178933.log,2178933,32b,fit-32b-cpuopt-f075,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-fit-32b-cpuopt-selective-60s-1n-tp4-pp1-mbs1-2177787.log,2177787,32b,fit-32b-cpuopt-selective,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-fit-32b-full-recompute-60s-1n-tp4-pp1-mbs1-2176030.log,2176030,32b,fit-32b-full-recompute,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-fit-32b-pa-optimizer-60s-1n-tp4-pp1-mbs1-2177249.log,2177249,32b,fit-32b-pa-optimizer,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-fit-32b-pa-optimizer-selective-60s-1n-tp4-pp1-mbs1-2177250.log,2177250,32b,fit-32b-pa-optimizer-selective,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-fit-32b-selective-recompute-60s-1n-tp4-pp1-mbs1-2176029.log,2176029,32b,fit-32b-selective-recompute,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-mbs1-32b-tp4-60s-1n-tp4-pp1-mbs1-2152493.log,2152493,32b,mbs1-32b-tp4,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-mbs2-32b-tp4-60s-1n-tp4-pp1-mbs2-2152494.log,2152494,32b,mbs2-32b-tp4,1,4,1,2,256,4096,,,,oom
logs/gipfel-throughput-32b-mbs3-32b-tp4-60s-1n-tp4-pp1-mbs3-2152495.log,2152495,32b,mbs3-32b-tp4,1,4,1,3,256,4096,,,,failed
logs/gipfel-throughput-32b-tier-32b-tp4pp1-60s-1n-tp4-pp1-mbs1-2152497.log,2152497,32b,tier-32b-tp4pp1,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-350m-cgtest-350m-mbs1-baseline-100s-1n-tp1-pp1-mbs1-2179609.log,2179609,350m,cgtest-350m-mbs1-baseline,1,1,1,1,256,4096,43055,40405,109,finished
logs/gipfel-throughput-350m-cgtest-350m-mbs1-te-attn-100s-1n-tp1-pp1-mbs1-2179611.log,2179611,350m,cgtest-350m-mbs1-te-attn,1,1,1,1,256,4096,46564,40389,118,finished
logs/gipfel-throughput-350m-cgtest-350m-mbs1-te-full-layer-100s-1n-tp1-pp1-mbs1-2179610.log,2179610,350m,cgtest-350m-mbs1-te-full-layer,1,1,1,1,256,4096,46488,41270,118,finished
logs/gipfel-throughput-350m-cgtest-350m-mbs1-te-mlp-100s-1n-tp1-pp1-mbs1-2179612.log,2179612,350m,cgtest-350m-mbs1-te-mlp,1,1,1,1,256,4096,47860,42565,121,finished
logs/gipfel-throughput-760m-cgtest-760m-mbs1-baseline-100s-1n-tp1-pp1-mbs1-2179613.log,2179613,760m,cgtest-760m-mbs1-baseline,1,1,1,1,256,4096,43555,41750,215,finished
logs/gipfel-throughput-760m-cgtest-760m-mbs1-te-attn-100s-1n-tp1-pp1-mbs1-2179615.log,2179615,760m,cgtest-760m-mbs1-te-attn,1,1,1,1,256,4096,47527,42595,235,finished
logs/gipfel-throughput-760m-cgtest-760m-mbs1-te-full-layer-100s-1n-tp1-pp1-mbs1-2179614.log,2179614,760m,cgtest-760m-mbs1-te-full-layer,1,1,1,1,256,4096,47883,42591,236,finished
logs/gipfel-throughput-760m-cgtest-760m-mbs1-te-mlp-100s-1n-tp1-pp1-mbs1-2179617.log,2179617,760m,cgtest-760m-mbs1-te-mlp,1,1,1,1,256,4096,46208,42528,228,finished
logs/gipfel-throughput-8b-baseline-8b-100-100s-1n-tp1-pp1-mbs2-2178385.log,2178385,8b,baseline-8b-100,1,1,1,2,256,4096,10931,10734,506,has_metrics
logs/gipfel-throughput-8b-baseline-8b-50s-1n-tp1-pp1-mbs2-2127789.log,2127789,8b,baseline-8b,1,1,1,2,256,4096,10963,10839,508,finished
logs/gipfel-throughput-8b-baseline-8b-60s-1n-tp1-pp1-mbs2-2128164.log,2128164,8b,baseline-8b,1,1,1,2,256,4096,11020,10810,511,finished
logs/gipfel-throughput-8b-baseline-8b-60s-1n-tp1-pp1-mbs2-2152474.log,2152474,8b,baseline-8b,1,1,1,2,256,4096,10764,10588,499,finished
logs/gipfel-throughput-8b-cg-attn-8b-60s-1n-tp1-pp1-mbs2-2128165.log,2128165,8b,cg-attn-8b,1,1,1,2,256,4096,11008,10873,510,finished
logs/gipfel-throughput-8b-cg-attn-8b-60s-1n-tp1-pp1-mbs2-2152475.log,2152475,8b,cg-attn-8b,1,1,1,2,256,4096,10799,10632,500,finished
logs/gipfel-throughput-8b-cg-attn-mlp-8b-60s-1n-tp1-pp1-mbs2-2128167.log,2128167,8b,cg-attn-mlp-8b,1,1,1,2,256,4096,10726,10670,497,finished
logs/gipfel-throughput-8b-cg-attn-mlp-8b-60s-1n-tp1-pp1-mbs2-2152477.log,2152477,8b,cg-attn-mlp-8b,1,1,1,2,256,4096,10874,10789,504,finished
logs/gipfel-throughput-8b-cg-fulliter-8b-60s-1n-tp1-pp1-mbs2-2128168.log,2128168,8b,cg-fulliter-8b,1,1,1,2,256,4096,8482,8064,393,finished
logs/gipfel-throughput-8b-cg-fulliter-8b-60s-1n-tp1-pp1-mbs2-2152478.log,2152478,8b,cg-fulliter-8b,1,1,1,2,256,4096,7757,7376,359,finished
logs/gipfel-throughput-8b-cg-mlp-8b-60s-1n-tp1-pp1-mbs2-2128166.log,2128166,8b,cg-mlp-8b,1,1,1,2,256,4096,10826,10705,502,finished
logs/gipfel-throughput-8b-cg-mlp-8b-60s-1n-tp1-pp1-mbs2-2152476.log,2152476,8b,cg-mlp-8b,1,1,1,2,256,4096,11151,10990,517,finished
logs/gipfel-throughput-8b-cg-te-full-layer-8b-100s-1n-tp1-pp1-mbs2-2178382.log,2178382,8b,cg-te-full-layer-8b,1,1,1,2,256,4096,10891,10825,505,has_metrics
logs/gipfel-throughput-8b-cg-te-full-layer-8b-100s-1n-tp1-pp1-mbs2-2179171.log,2179171,8b,cg-te-full-layer-8b,1,1,1,2,256,4096,10991,10917,509,has_metrics
logs/gipfel-throughput-8b-mbs1-8b-60s-1n-tp1-pp1-mbs1-2152484.log,2152484,8b,mbs1-8b,1,1,1,1,256,4096,10950,10656,507,finished
logs/gipfel-throughput-8b-mbs2-8b-60s-1n-tp1-pp1-mbs2-2152485.log,2152485,8b,mbs2-8b,1,1,1,2,256,4096,11110,10938,515,finished
logs/gipfel-throughput-8b-mbs3-8b-60s-1n-tp1-pp1-mbs3-2152486.log,2152486,8b,mbs3-8b,1,1,1,3,256,4096,,,,failed
logs/gipfel-throughput-8b-mbs4-8b-60s-1n-tp1-pp1-mbs4-2152487.log,2152487,8b,mbs4-8b,1,1,1,4,256,4096,,,,oom
logs/gipfel-throughput-8b-repeat-baseline-8b-60s-1n-tp1-pp1-mbs2-2152472.log,2152472,8b,repeat-baseline-8b,1,1,1,2,256,4096,10943,10784,507,finished
logs/gipfel-throughput-8b-repeat-baseline-8b-60s-1n-tp1-pp1-mbs2-2152482.log,2152482,8b,repeat-baseline-8b,1,1,1,2,256,4096,11141,10973,516,finished
logs/gipfel-throughput-8b-repeat-cg-attn-8b-60s-1n-tp1-pp1-mbs2-2152473.log,2152473,8b,repeat-cg-attn-8b,1,1,1,2,256,4096,10998,10801,510,finished
logs/gipfel-throughput-8b-repeat-cg-attn-8b-60s-1n-tp1-pp1-mbs2-2152483.log,2152483,8b,repeat-cg-attn-8b,1,1,1,2,256,4096,10759,10560,498,finished
logs/gipfel-throughput-8b-tier-8b-tp1pp1-60s-1n-tp1-pp1-mbs2-2152496.log,2152496,8b,tier-8b-tp1pp1,1,1,1,2,256,4096,10910,10675,506,finished
